                  Temp     Hi    Low   Out    Dew  Wind  Wind  Wind    Hi    Hi   Wind   Heat    THW   THSW                Rain  Solar   Solar Hi Solar    Heat    Cool    In     In    In     In     In   In Air          Wind  Wind    ISS   Arc.
  Date    Time     Out   Temp   Temp   Hum    Pt. Speed   Dir   Run Speed   Dir  Chill  Index  Index  Index   Bar    Rain  Rate   Rad.  Energy    Rad.     D-D     D-D    Temp   Hum    Dew   Heat    EMC Density     ET   Samp   Tx   Recept  Int.
12/31/20  7:05a   28.7   29.3   28.7    54   14.1   0.0    NW  0.00   2.0    NW   28.7   28.0   28.0   24.4   827.8  0.00  0.00     0     0.00      0     0.126   0.000   68.2    12   13.6   62.5   2.95  .0612    0.000   117    1    100.0    5 
12/31/20  7:10a   28.3   28.7   28.3    55   14.2   0.0   ---  0.00   0.0   ---   28.3   27.6   27.6   24.0   827.8  0.00  0.00     0     0.00      0     0.127   0.000   68.4    12   13.7   62.7   2.95  .0612    0.000   117    1    100.0    5 
12/31/20  7:15a   28.1   28.3   28.1    55   14.0   0.0    NW  0.00   1.0    NW   28.1   27.4   27.4   23.8   827.8  0.00  0.00     0     0.00      0     0.128   0.000   68.5    12   13.8   62.9   2.95  .0612    0.000   117    1    100.0    5 
12/31/20  7:20a   28.0   28.1   28.0    56   14.3   1.0    NW  0.08   3.0    NW   28.0   27.3   27.3   23.7   827.8  0.00  0.00     0     0.00      0     0.128   0.000   68.5    12   13.8   62.9   2.95  .0612    0.000   117    1    100.0    5 
12/31/20  7:25a   28.1   28.1   28.0    56   14.4   0.0    NW  0.00   2.0    NW   28.1   27.4   27.4   23.9   828.0  0.00  0.00     5     0.04      5     0.128   0.000   68.7    12   14.0   63.1   2.95  .0612    0.000   117    1    100.0    5 
12/31/20  7:30a   27.6   28.1   27.6    56   13.9   0.0    NW  0.00   2.0    NW   27.6   26.9   26.9   23.5   827.9  0.00  0.00     9     0.06     14     0.130   0.000   68.7    12   14.0   63.1   2.95  .0612    0.000   117    1    100.0    5 
12/31/20  7:35a   27.5   27.6   27.5    57   14.2   0.0   ---  0.00   0.0   ---   27.5   26.8   26.8   23.6   828.1  0.00  0.00    14     0.10     14     0.130   0.000   68.2    12   13.6   62.5   2.95  .0612    0.000   117    1    100.0    5 
12/31/20  7:40a   27.4   27.5   27.3    57   14.1   1.0    NW  0.08   4.0    NW   27.4   26.7   26.7   23.5   828.1  0.00  0.00    16     0.11     23     0.131   0.000   68.0    12   13.4   62.2   2.95  .0613    0.000   118    1    100.0    5 
12/31/20  7:45a   27.4   27.4   27.4    57   14.1   2.0   WNW  0.17   4.0   WNW   25.9   26.7   25.2   22.3   828.1  0.00  0.00    29     0.21     33     0.131   0.000   68.0    12   13.4   62.2   2.95  .0613    0.000   117    1    100.0    5 
12/31/20  7:50a   27.5   27.5   27.4    56   13.8   3.0   WNW  0.25   4.0   WNW   24.2   26.8   23.5   20.3   828.1  0.00  0.00    17     0.12     19     0.130   0.000   68.2    12   13.6   62.5   2.95  .0612    0.000   117    1    100.0    5 
12/31/20  7:55a   27.9   27.9   27.5    55   13.8   1.0   WNW  0.08   3.0   WNW   27.9   27.2   27.2   23.9   828.0  0.00  0.00    12     0.09     14     0.129   0.000   68.4    12   13.7   62.7   2.95  .0612    0.000   117    1    100.0    5 
12/31/20  8:00a   28.2   28.2   27.9    54   13.7   2.0   WNW  0.17   3.0   WNW   26.8   27.5   26.1   22.8   827.9  0.00  0.00    14     0.10     14     0.128   0.000   68.4    12   13.7   62.7   2.95  .0612    0.000   117    1    100.0    5 
12/31/20  8:05a   28.4   28.4   28.2    54   13.9   1.0   WNW  0.08   2.0   WNW   28.4   27.7   27.7   24.5   828.0  0.00  0.00    17     0.12     25     0.127   0.000   67.9    12   13.3   62.1   2.95  .0613    0.000   117    1    100.0    5 
